stock_code,result
600016,"
StockCode: 600016, Final Capital: 10995.73 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-02-19 00:00:00, 买入价格：4.17"
600009,"
StockCode: 600009, Final Capital: 10532.00 CNY, Winning Rate: 75.00%,持仓：0, 最后一次购买日期为：2024-11-07 00:00:00, 买入价格：36.77"
600006,"
StockCode: 600006, Final Capital: 10417.07 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-01 00:00:00, 买入价格：7.82"
600023,"
StockCode: 600023, Final Capital: 9039.14 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：5.76"
600017,"
StockCode: 600017, Final Capital: 11348.00 CNY, Winning Rate: 80.00%,持仓：0, 最后一次购买日期为：2025-04-10 00:00:00, 买入价格：3.47"
600060,"
StockCode: 600060, Final Capital: 10180.00 CNY, Winning Rate: 40.00%,持仓：0, 最后一次购买日期为：2025-03-24 00:00:00, 买入价格：23.27"
600025,"
StockCode: 600025, Final Capital: 11028.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-11 00:00:00, 买入价格：9.25"
600000,"
StockCode: 600000, Final Capital: 10443.54 CNY, Winning Rate: 38.46%,持仓：1, 最后一次购买日期为：2025-04-18 00:00:00, 买入价格：10.81"
600067,"
StockCode: 600067, Final Capital: 9131.75 CNY, Winning Rate: 36.36%,持仓：0, 最后一次购买日期为：2025-03-14 00:00:00, 买入价格：2.63"
600070,"
StockCode: 600070, Final Capital: 10817.89 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2024-12-16 00:00:00, 买入价格：1.92"
600019,"
StockCode: 600019, Final Capital: 11756.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-17 00:00:00, 买入价格：7.49"
600022,"
StockCode: 600022, Final Capital: 9195.00 CNY, Winning Rate: 14.29%,持仓：0, 最后一次购买日期为：2024-12-11 00:00:00, 买入价格：1.72"
600007,"
StockCode: 600007, Final Capital: 8808.28 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2025-03-06 00:00:00, 买入价格：23.90"
600058,"
StockCode: 600058, Final Capital: 10879.50 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-03-06 00:00:00, 买入价格：7.77"
600038,"
StockCode: 600038, Final Capital: 9971.70 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2024-11-07 00:00:00, 买入价格：43.30"
600051,"
StockCode: 600051, Final Capital: 10844.74 CNY, Winning Rate: 45.45%,持仓：0, 最后一次购买日期为：2025-03-21 00:00:00, 买入价格：6.86"
600053,"
StockCode: 600053, Final Capital: 9938.00 CNY, Winning Rate: 40.00%,持仓：1, 最后一次购买日期为：2025-04-21 00:00:00, 买入价格：14.28"
600054,"
StockCode: 600054, Final Capital: 11240.00 CNY, Winning Rate: 50.00%,持仓：1, 最后一次购买日期为：2025-04-14 00:00:00, 买入价格：12.31"
600010,"
StockCode: 600010, Final Capital: 9951.00 CNY, Winning Rate: 14.29%,持仓：0, 最后一次购买日期为：2025-03-12 00:00:00, 买入价格：1.90"
600008,"
StockCode: 600008, Final Capital: 11214.00 CNY, Winning Rate: 66.67%,持仓：0, 最后一次购买日期为：2025-03-24 00:00:00, 买入价格：3.14"
600055,"
StockCode: 600055, Final Capital: 12627.00 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-02-24 00:00:00, 买入价格：18.20"
600061,"
StockCode: 600061, Final Capital: 9109.00 CNY, Winning Rate: 14.29%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：7.30"
600039,"
StockCode: 600039, Final Capital: 13898.93 CNY, Winning Rate: 71.43%,持仓：0, 最后一次购买日期为：2025-04-03 00:00:00, 买入价格：8.53"
600056,"
StockCode: 600056, Final Capital: 13690.00 CNY, Winning Rate: 100.00%,持仓：0, 最后一次购买日期为：2024-11-07 00:00:00, 买入价格：11.87"
600037,"
StockCode: 600037, Final Capital: 10349.42 CNY, Winning Rate: 55.56%,持仓：0, 最后一次购买日期为：2025-03-14 00:00:00, 买入价格：7.86"
600012,"
StockCode: 600012, Final Capital: 8753.00 CNY, Winning Rate: 54.55%,持仓：1, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：17.64"
600004,"
StockCode: 600004, Final Capital: 10368.08 CNY, Winning Rate: 40.00%,持仓：0, 最后一次购买日期为：2024-12-13 00:00:00, 买入价格：9.90"
600011,"
StockCode: 600011, Final Capital: 9340.00 CNY, Winning Rate: 33.33%,持仓：1, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：7.19"
600026,"
StockCode: 600026, Final Capital: 7763.00 CNY, Winning Rate: 0.00%,持仓：0, 最后一次购买日期为：2025-01-14 00:00:00, 买入价格：13.26"
600015,"
StockCode: 600015, Final Capital: 9128.17 CNY, Winning Rate: 28.57%,持仓：1, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：7.96"
600031,"
StockCode: 600031, Final Capital: 12259.10 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-13 00:00:00, 买入价格：20.04"
600033,"
StockCode: 600033, Final Capital: 9597.88 CNY, Winning Rate: 61.54%,持仓：0, 最后一次购买日期为：2025-04-18 00:00:00, 买入价格：3.95"
600057,"
StockCode: 600057, Final Capital: 9536.09 CNY, Winning Rate: 33.33%,持仓：1, 最后一次购买日期为：2025-04-18 00:00:00, 买入价格：6.04"
600021,"
StockCode: 600021, Final Capital: 10111.86 CNY, Winning Rate: 55.56%,持仓：0, 最后一次购买日期为：2025-03-27 00:00:00, 买入价格：9.15"
600028,"
StockCode: 600028, Final Capital: 8837.00 CNY, Winning Rate: 30.00%,持仓：0, 最后一次购买日期为：2024-12-23 00:00:00, 买入价格：6.54"
600029,"
StockCode: 600029, Final Capital: 8020.03 CNY, Winning Rate: 18.18%,持仓：0, 最后一次购买日期为：2025-03-25 00:00:00, 买入价格：6.12"
600052,"
StockCode: 600052, Final Capital: 8447.00 CNY, Winning Rate: 25.00%,持仓：0, 最后一次购买日期为：2025-02-26 00:00:00, 买入价格：4.81"
600018,"
StockCode: 600018, Final Capital: 9346.58 CNY, Winning Rate: 41.67%,持仓：0, 最后一次购买日期为：2025-03-26 00:00:00, 买入价格：5.78"
600064,"
StockCode: 600064, Final Capital: 12788.00 CNY, Winning Rate: 62.50%,持仓：0, 最后一次购买日期为：2025-03-17 00:00:00, 买入价格：7.46"
600063,"
StockCode: 600063, Final Capital: 11854.35 CNY, Winning Rate: 60.00%,持仓：0, 最后一次购买日期为：2025-03-26 00:00:00, 买入价格：4.69"
600027,"
StockCode: 600027, Final Capital: 10811.00 CNY, Winning Rate: 66.67%,持仓：1, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：5.66"
600066,"
StockCode: 600066, Final Capital: 12084.00 CNY, Winning Rate: 60.00%,持仓：1, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：26.62"
600059,"
StockCode: 600059, Final Capital: 10708.85 CNY, Winning Rate: 37.50%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：8.75"
600035,"
StockCode: 600035, Final Capital: 9456.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-26 00:00:00, 买入价格：4.40"
600030,"
StockCode: 600030, Final Capital: 11043.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2024-11-06 00:00:00, 买入价格：30.84"
600062,"
StockCode: 600062, Final Capital: 10487.08 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：19.41"
600050,"
StockCode: 600050, Final Capital: 12726.00 CNY, Winning Rate: 60.00%,持仓：0, 最后一次购买日期为：2025-02-24 00:00:00, 买入价格：6.73"
600020,"
StockCode: 600020, Final Capital: 10779.00 CNY, Winning Rate: 44.44%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：4.19"
600048,"
StockCode: 600048, Final Capital: 12425.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-10 00:00:00, 买入价格：8.98"
600036,"
StockCode: 600036, Final Capital: 10634.85 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-03-21 00:00:00, 买入价格：44.70"
600071,"
StockCode: 600071, Final Capital: 11521.55 CNY, Winning Rate: 62.50%,持仓：0, 最后一次购买日期为：2025-01-22 00:00:00, 买入价格：23.90"
600072,"
StockCode: 600072, Final Capital: 9056.18 CNY, Winning Rate: 28.57%,持仓：0, 最后一次购买日期为：2025-03-25 00:00:00, 买入价格：13.71"
600073,"
StockCode: 600073, Final Capital: 12127.29 CNY, Winning Rate: 60.00%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：7.64"
600075,"
StockCode: 600075, Final Capital: 10520.93 CNY, Winning Rate: 55.56%,持仓：0, 最后一次购买日期为：2025-03-26 00:00:00, 买入价格：4.49"
600079,"
StockCode: 600079, Final Capital: 9925.53 CNY, Winning Rate: 22.22%,持仓：0, 最后一次购买日期为：2025-03-28 00:00:00, 买入价格：21.26"
600082,"
StockCode: 600082, Final Capital: 12335.79 CNY, Winning Rate: 44.44%,持仓：0, 最后一次购买日期为：2025-03-17 00:00:00, 买入价格：3.12"
