stock_code,result
600010,"
StockCode: 600010, Final Capital: 18897.0 CNY, Winning Rate: 28.12%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：1.79"
600026,"
StockCode: 600026, Final Capital: 10945.0 CNY, Winning Rate: 30.56%, 持仓：0, 最后一次购买日期为：2025-04-28 00:00:00, 买入价格：10.57"
600025,"
StockCode: 600025, Final Capital: 23656.0 CNY, Winning Rate: 46.43%, 持仓：1, 最后一次购买日期为：2025-04-28 00:00:00, 买入价格：9.58"
600016,"
StockCode: 600016, Final Capital: 10587.0 CNY, Winning Rate: 20.0%, 持仓：1, 最后一次购买日期为：2025-05-07 00:00:00, 买入价格：4.04"
600009,"
StockCode: 600009, Final Capital: 9290.0 CNY, Winning Rate: 23.33%, 持仓：1, 最后一次购买日期为：2025-05-15 00:00:00, 买入价格：32.6"
600019,"
StockCode: 600019, Final Capital: 9884.0 CNY, Winning Rate: 30.56%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：6.93"
600015,"
StockCode: 600015, Final Capital: 9962.0 CNY, Winning Rate: 37.14%, 持仓：0, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：7.96"
600023,"
StockCode: 600023, Final Capital: 11481.0 CNY, Winning Rate: 25.64%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：5.81"
600018,"
StockCode: 600018, Final Capital: 7522.0 CNY, Winning Rate: 25.0%, 持仓：1, 最后一次购买日期为：2025-05-07 00:00:00, 买入价格：5.58"
600008,"
StockCode: 600008, Final Capital: 11363.0 CNY, Winning Rate: 25.0%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：3.16"
600000,"
StockCode: 600000, Final Capital: 10814.0 CNY, Winning Rate: 19.44%, 持仓：1, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：10.83"
600021,"
StockCode: 600021, Final Capital: 7585.0 CNY, Winning Rate: 23.08%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：9.11"
