日期,收盘价,总市值,GDP,近十年分位数,总历史分位数
2005-04-07,1003.45,38470.47,161840.16,1.0,1.0
2005-04-10,995.42,39184.81,161840.16,1.0,1.0
2005-04-11,978.7,38955.09,161840.16,0.66667,0.66667
2005-04-12,1000.9,38287.33,161840.16,0.25,0.25
2005-04-13,986.98,39166.32,161840.16,0.8,0.8
2005-04-14,974.08,38700.11,161840.16,0.5,0.5
2005-04-17,963.77,38100.27,161840.16,0.14286,0.14286
2005-04-18,965.89,37552.56,161840.16,0.125,0.125
2005-04-19,950.87,37588.8,161840.16,0.22222,0.22222
2005-04-20,943.98,37047.16,161840.16,0.1,0.1
2005-04-21,939.1,36954.91,161840.16,0.09091,0.09091
2005-04-24,930.07,36731.6,161840.16,0.08333,0.08333
2005-04-25,937.08,36307.75,161840.16,0.07692,0.07692
2005-04-26,926.6,36578.32,161840.16,0.14286,0.14286
2005-04-27,942.07,36048.25,161840.16,0.06667,0.06667
2005-04-28,932.39,36692.91,161840.16,0.25,0.25
2005-05-08,909.17,36307.12,161840.16,0.11765,0.11765
2005-05-09,913.08,35356.67,161840.16,0.05556,0.05556
2005-05-10,901.85,35491.91,161840.16,0.10526,0.10526
2005-05-11,885.82,35146.31,161840.16,0.05,0.05
2005-05-12,887.54,34555.22,161840.16,0.04762,0.04762
2005-05-15,875.27,34667.03,161840.16,0.09091,0.09091
2005-05-16,881.46,34253.59,161840.16,0.04348,0.04348
2005-05-17,883.2,34404.55,161840.16,0.08333,0.08333
2005-05-18,884.17,34508.11,161840.16,0.12,0.12
2005-05-19,882.76,34511.16,161840.16,0.15385,0.15385
2005-05-22,863.34,34375.73,161840.16,0.07407,0.07407
2005-05-23,868.46,33466.57,161840.16,0.03571,0.03571
2005-05-24,868.45,33643.72,161840.16,0.06897,0.06897
2005-05-25,857.33,33616.16,161840.16,0.06667,0.06667
2005-05-26,849.51,33212.98,161840.16,0.03226,0.03226
2005-05-29,855.61,32970.83,161840.16,0.03125,0.03125
2005-05-30,855.95,33233.56,161840.16,0.09091,0.09091
2005-05-31,837.53,33248.52,161840.16,0.11765,0.11765
2005-06-01,818.38,32525.16,161840.16,0.02857,0.02857
2005-06-02,818.03,31881.29,161840.16,0.02778,0.02778
2005-06-05,839.0,31778.58,161840.16,0.02703,0.02703
2005-06-06,837.28,32448.77,161840.16,0.07895,0.07895
2005-06-07,905.77,32374.43,161840.16,0.07692,0.07692
2005-06-08,912.6,35006.73,161840.16,0.5,0.5
2005-06-09,894.56,35442.24,161840.16,0.56098,0.56098
2005-06-12,892.96,34672.41,161840.16,0.47619,0.47619
2005-06-13,883.54,34666.1,161840.16,0.44186,0.44186
2005-06-14,866.83,34206.82,161840.16,0.29545,0.29545
2005-06-15,879.24,33477.85,161840.16,0.24444,0.24444
2005-06-16,880.35,33855.79,161840.16,0.30435,0.30435
2005-06-19,906.25,33764.84,161840.16,0.29787,0.29787
2005-06-20,896.17,34741.16,161840.16,0.54167,0.54167
2005-06-21,900.65,34307.29,161840.16,0.36735,0.36735
2005-06-22,893.57,34343.36,161840.16,0.38,0.38
2005-06-23,898.3,34073.06,161840.16,0.31373,0.31373
2005-06-26,916.04,34309.1,161840.16,0.38462,0.38462
2005-06-27,903.72,35048.82,161840.16,0.60377,0.60377
2005-06-28,898.9,34498.14,161840.16,0.44444,0.44444
2005-06-29,878.69,34322.78,161840.16,0.38182,0.38182
2005-06-30,859.49,33490.29,161840.16,0.21429,0.21429
2005-07-03,855.93,32617.48,161840.16,0.10526,0.10526
2005-07-04,849.68,32364.45,161840.16,0.05172,0.05172
2005-07-05,842.56,32100.25,161840.16,0.05085,0.05085
2005-07-06,844.73,31930.33,161840.16,0.05,0.05
2005-07-07,829.49,32082.82,161840.16,0.06557,0.06557
2005-07-10,824.1,31381.33,161840.16,0.01613,0.01613
2005-07-11,851.82,31145.23,161840.16,0.01587,0.01587
2005-07-12,846.23,32189.28,161840.16,0.125,0.125
2005-07-13,849.59,31928.08,161840.16,0.07692,0.07692
2005-07-14,841.0,32002.1,161840.16,0.10606,0.10606
2005-07-17,833.0,31553.21,161840.16,0.04478,0.04478
2005-07-18,835.61,31106.91,161840.16,0.01471,0.01471
2005-07-19,842.64,31195.22,161840.16,0.04348,0.04348
2005-07-20,843.99,31421.67,161840.16,0.07143,0.07143
2005-07-21,859.69,31403.86,161840.16,0.07042,0.07042
2005-07-24,856.86,32168.57,161840.16,0.20833,0.20833
2005-07-25,876.48,32102.96,161840.16,0.20548,0.20548
2005-07-26,894.01,32924.07,161840.16,0.31081,0.31081
2005-07-27,890.88,33509.97,161840.16,0.41333,0.41333
2005-07-28,888.16,33434.54,161840.16,0.36842,0.36842
2005-07-31,891.61,33292.06,161840.16,0.36364,0.36364
2005-08-01,903.6,33470.3,161840.16,0.39744,0.39744
2005-08-02,909.57,33965.94,161840.16,0.49367,0.49367
2005-08-03,904.15,34147.19,161840.16,0.5125,0.5125
2005-08-04,923.8,33970.5,161840.16,0.49383,0.49383
2005-08-07,927.47,34768.25,161840.16,0.71951,0.71951
2005-08-08,933.09,35093.35,161840.16,0.74699,0.74699
2005-08-09,940.37,35505.66,161840.16,0.79762,0.79762
2005-08-10,953.99,35884.71,161840.16,0.8,0.8
2005-08-11,938.32,36498.15,161840.16,0.83721,0.83721
2005-08-14,954.5,35997.68,161840.16,0.7931,0.7931
2005-08-15,945.06,36552.58,161840.16,0.84091,0.84091
2005-08-16,953.01,36258.53,161840.16,0.79775,0.79775
2005-08-17,920.67,36693.92,161840.16,0.86667,0.86667
2005-08-18,923.04,35264.14,161840.16,0.7033,0.7033
2005-08-21,931.67,35295.24,161840.16,0.70652,0.70652
2005-08-22,923.41,35559.76,161840.16,0.75269,0.75269
2005-08-23,930.65,35237.66,161840.16,0.68085,0.68085
2005-08-24,930.12,35735.26,161840.16,0.75789,0.75789
2005-08-25,928.26,35926.69,161840.16,0.77083,0.77083
2005-08-28,917.37,35932.53,161840.16,0.7732,0.7732
2005-08-29,914.88,35423.46,161840.16,0.69388,0.69388
2005-08-30,927.92,35158.68,161840.16,0.64646,0.64646
2005-08-31,944.56,35677.21,161840.16,0.74,0.74
2005-09-01,947.87,36374.56,161840.16,0.83168,0.83168
2005-09-04,952.72,36521.5,161840.16,0.84314,0.84314
2005-09-05,936.61,36785.18,161840.16,0.8932,0.8932
2005-09-06,952.76,36091.64,161840.16,0.77885,0.77885
2005-09-07,955.28,36793.45,161840.16,0.89524,0.89524
2005-09-08,949.07,36804.78,161840.16,0.89623,0.89623
2005-09-11,949.51,36624.68,161840.16,0.84112,0.84112
2005-09-12,963.77,36603.02,161840.16,0.83333,0.83333
2005-09-13,970.19,37228.5,161840.16,0.91743,0.91743
2005-09-14,969.6,37548.8,161840.16,0.91818,0.91818
2005-09-15,967.5,37563.54,161840.16,0.92793,0.92793
2005-09-18,971.14,37453.87,161840.16,0.90179,0.90179
2005-09-19,961.92,37700.34,161840.16,0.93805,0.93805
2005-09-20,944.41,37435.38,161840.16,0.88596,0.88596
2005-09-21,923.27,36694.05,161840.16,0.81739,0.81739
2005-09-22,916.15,35751.26,161840.16,0.65517,0.65517
2005-09-25,918.49,35457.07,161840.16,0.60684,0.60684
2005-09-26,904.21,35566.53,161840.16,0.63559,0.63559
2005-09-27,903.72,34879.48,161840.16,0.5042,0.5042
2005-09-28,915.98,34815.56,161840.16,0.5,0.5
2005-09-29,917.39,35531.44,161840.16,0.6281,0.6281
2005-10-09,907.32,35559.41,161840.16,0.63115,0.63115
2005-10-10,919.72,35057.49,161840.16,0.52033,0.52033
2005-10-11,923.49,35630.62,161840.16,0.65323,0.65323
2005-10-12,916.5,35792.66,161840.16,0.68,0.68
2005-10-13,904.83,35517.44,161840.16,0.61111,0.61111
2005-10-16,897.62,35122.33,161840.16,0.51969,0.51969
2005-10-17,902.37,34895.38,161840.16,0.48438,0.48438
2005-10-18,898.74,35227.86,161840.16,0.54264,0.54264
2005-10-19,899.91,35024.14,161840.16,0.49231,0.49231
2005-10-20,904.41,35057.11,161840.16,0.50382,0.50382
2005-10-23,906.65,35248.81,161840.16,0.56061,0.56061
2005-10-24,894.27,35196.27,161840.16,0.54135,0.54135
2005-10-25,875.82,34649.24,161840.16,0.41045,0.41045
