日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-08-02,3463.56,3457.89,3463.56,3409.94,105473287,130432786432.0,0.0,0.0,0.0,0.15
2011-08-03,3426.67,3462.98,3476.43,3420.98,100606912,129502011392.0,1.6,0.15,5.09,0.14
2011-08-04,3469.79,3473.52,3494.59,3462.34,93956425,120273780736.0,0.93,0.3,10.54,0.14
2011-08-05,3374.55,3400.43,3423.34,3357.11,118456634,146355601408.0,1.91,-2.1,-73.09,0.17
2011-08-08,3358.38,3257.11,3379.72,3201.07,161123875,189915430912.0,5.25,-4.21,-143.32,0.23
2011-08-09,3166.64,3256.3,3273.86,3123.15,152445553,175776333824.0,4.63,-0.02,-0.81,0.22
2011-08-10,3308.8,3294.26,3334.33,3290.02,141954220,170654351360.0,1.36,1.17,37.96,0.2
2011-08-11,3234.28,3348.18,3348.46,3231.05,141948289,170552819712.0,3.56,1.64,53.92,0.2
2011-08-12,3366.34,3370.21,3388.4,3361.43,145048909,169351856128.0,0.81,0.66,22.03,0.21
2011-08-15,3378.01,3419.9,3419.9,3370.05,139538483,158513053696.0,1.48,1.47,49.69,0.2
2011-08-16,3423.58,3395.64,3433.89,3385.31,127503722,150895280128.0,1.42,-0.71,-24.26,0.18
2011-08-17,3389.33,3384.14,3407.65,3376.54,106154767,122971013120.0,0.92,-0.34,-11.5,0.15
2011-08-18,3383.38,3323.58,3386.13,3321.95,106458168,125144809472.0,1.9,-1.79,-60.56,0.15
2011-08-19,3263.71,3292.86,3293.25,3258.51,102836917,119804944384.0,1.05,-0.92,-30.72,0.15
2011-08-22,3293.28,3263.78,3319.69,3252.95,88540465,107139743744.0,2.03,-0.88,-29.08,0.13
2011-08-23,3274.34,3316.38,3316.45,3263.81,89649282,105436061696.0,1.61,1.61,52.6,0.13
2011-08-24,3331.53,3307.9,3346.73,3302.34,99968098,122355949568.0,1.34,-0.26,-8.48,0.14
2011-08-25,3314.87,3397.27,3397.27,3309.36,146916518,164104486912.0,2.66,2.7,89.37,0.21
2011-08-26,3383.26,3400.34,3407.09,3374.49,113713711,135179100160.0,0.96,0.09,3.07,0.16
2011-08-29,3377.47,3356.71,3377.47,3350.65,109365411,131088506880.0,0.79,-1.28,-43.63,0.16
2011-08-30,3377.48,3336.01,3404.7,3334.05,110977731,130252038144.0,2.1,-0.62,-20.7,0.16
2011-08-31,3336.62,3331.98,3349.1,3302.95,87771353,104063090688.0,1.38,-0.12,-4.03,0.13
2011-09-01,3336.38,3313.78,3355.39,3302.59,81843825,95396618240.0,1.58,-0.55,-18.2,0.12
2011-09-02,3307.08,3276.96,3315.11,3259.73,76494157,87150632960.0,1.67,-1.11,-36.82,0.11
2011-09-05,3249.61,3203.01,3249.61,3202.65,78479016,89653985280.0,1.43,-2.26,-73.95,0.11
2011-09-06,3182.41,3179.7,3204.31,3165.3,69202723,79645024256.0,1.22,-0.73,-23.31,0.1
2011-09-07,3194.13,3249.36,3249.36,3189.09,87037265,100448780288.0,1.9,2.19,69.66,0.13
2011-09-08,3259.94,3219.83,3260.43,3219.75,79259578,93785923584.0,1.25,-0.91,-29.53,0.11
2011-09-09,3227.91,3208.34,3257.14,3194.88,70220005,81941061632.0,1.93,-0.36,-11.49,0.1
2011-09-13,3165.2,3165.22,3173.0,3142.47,69072606,79564283904.0,0.95,-1.34,-43.12,0.1
2011-09-14,3174.3,3189.48,3189.81,3120.97,75157248,85028249600.0,2.17,0.77,24.26,0.11
2011-09-15,3191.41,3188.57,3215.31,3185.79,78993869,87864721408.0,0.93,-0.03,-0.91,0.11
2011-09-16,3202.56,3192.08,3216.43,3188.03,70472958,79724036096.0,0.89,0.11,3.51,0.1
2011-09-19,3176.89,3129.02,3176.89,3128.65,70423095,75866316800.0,1.51,-1.98,-63.06,0.1
2011-09-20,3122.69,3143.22,3156.1,3109.7,66824388,74881425408.0,1.48,0.45,14.2,0.1
2011-09-21,3144.04,3236.14,3241.66,3131.42,124266735,138392731648.0,3.51,2.96,92.92,0.18
2011-09-22,3208.57,3139.47,3219.64,3139.07,108299511,118729277440.0,2.49,-2.99,-96.67,0.16
2011-09-23,3089.2,3117.81,3129.34,3075.69,95627583,105641451520.0,1.71,-0.69,-21.66,0.14
2011-09-26,3096.71,3057.86,3130.33,3048.82,84890743,91999117312.0,2.61,-1.92,-59.95,0.12
2011-09-27,3081.32,3080.89,3094.38,3052.28,80104866,88182235136.0,1.38,0.75,23.03,0.12
2011-09-28,3097.83,3039.79,3104.09,3030.7,80787113,88422563840.0,2.38,-1.33,-41.1,0.12
2011-09-29,3021.2,2981.47,3022.44,2979.47,87027949,90101678080.0,1.41,-1.92,-58.32,0.13
2011-09-30,2987.43,2972.77,3001.1,2955.9,68979210,70897582080.0,1.52,-0.29,-8.7,0.1
2011-10-10,2980.45,2950.19,2989.34,2943.52,59677255,61181911040.0,1.54,-0.76,-22.58,0.09
2011-10-11,3021.65,2943.76,3036.51,2914.31,90546241,96567959552.0,4.14,-0.22,-6.43,0.13
2011-10-12,2929.72,3049.38,3051.17,2909.39,129447103,129874264064.0,4.82,3.59,105.62,0.19
2011-10-13,3042.17,3079.31,3087.72,3034.07,128943349,131180281856.0,1.76,0.98,29.93,0.19
2011-10-14,3071.53,3067.6,3080.77,3039.94,89841888,94086955008.0,1.33,-0.38,-11.71,0.13
2011-10-17,3073.49,3080.96,3101.34,3064.11,87291225,96462462976.0,1.21,0.44,13.36,0.13
2011-10-18,3060.25,2992.03,3063.02,2989.02,95914696,102192357376.0,2.4,-2.89,-88.93,0.14
2011-10-19,2998.21,2979.85,3014.29,2974.36,76464796,82068652032.0,1.33,-0.41,-12.18,0.11
2011-10-20,2964.47,2901.72,2964.47,2878.55,90474861,92775178240.0,2.88,-2.62,-78.13,0.13
2011-10-21,2900.42,2871.39,2913.11,2868.38,68807908,70268125184.0,1.54,-1.05,-30.33,0.1
2011-10-24,2877.94,2938.16,2938.29,2846.0,97723411,97160822784.0,3.21,2.33,66.77,0.14
2011-10-25,2934.43,3003.89,3011.31,2922.84,129646724,133390508032.0,3.01,2.24,65.73,0.19
2011-10-26,2987.82,3033.2,3063.09,2983.68,155525817,158591582208.0,2.64,0.98,29.31,0.22
2011-10-27,3038.97,3038.43,3060.83,3026.45,120289703,122341466112.0,1.13,0.17,5.23,0.17
2011-10-28,3076.42,3100.59,3108.15,3068.4,159877960,165533466624.0,1.31,2.05,62.16,0.23
2011-10-31,3096.79,3100.44,3109.23,3078.95,128218848,139893243904.0,0.98,0.0,-0.15,0.18
2011-11-01,3074.06,3102.53,3126.69,3067.52,131604573,141899481088.0,1.91,0.07,2.09,0.19
2011-11-02,3056.82,3155.78,3156.17,3047.44,157484290,170401185792.0,3.5,1.72,53.25,0.23
2011-11-03,3167.06,3164.57,3206.0,3163.82,208682336,233464856576.0,1.34,0.28,8.79,0.3
2011-11-04,3187.36,3187.57,3201.64,3166.06,154007311,167927791616.0,1.12,0.73,23.0,0.22
2011-11-07,3176.46,3164.37,3199.63,3159.81,117129158,129257676800.0,1.25,-0.73,-23.2,0.17
2011-11-08,3170.2,3142.49,3180.7,3137.36,117316815,125802184704.0,1.37,-0.69,-21.88,0.17
2011-11-09,3152.3,3180.28,3180.28,3120.27,119800352,133884960768.0,1.91,1.2,37.79,0.17
2011-11-10,3145.43,3127.82,3159.96,3126.98,130733625,147195248640.0,1.04,-1.65,-52.46,0.19
2011-11-11,3132.15,3124.66,3146.53,3112.06,103813009,115455975424.0,1.1,-0.1,-3.16,0.15
2011-11-14,3148.97,3193.56,3193.56,3148.97,128250589,147223937024.0,1.43,2.21,68.9,0.18
2011-11-15,3191.02,3199.47,3201.97,3181.93,123001597,140974161920.0,0.63,0.19,5.91,0.18
2011-11-16,3200.33,3115.88,3200.45,3103.23,144269339,156677226496.0,3.04,-2.61,-83.59,0.21
2011-11-17,3116.23,3109.42,3141.01,3103.7,101485653,113123098624.0,1.2,-0.21,-6.46,0.15
2011-11-18,3089.15,3033.94,3089.15,3027.88,109808685,119061897216.0,1.97,-2.43,-75.48,0.16
2011-11-21,3033.24,3037.41,3038.93,3006.66,75647138,83587956736.0,1.06,0.11,3.47,0.11
2011-11-22,3014.99,3035.62,3036.59,2997.79,77171325,84637310976.0,1.28,-0.06,-1.79,0.11
2011-11-23,3039.51,3013.38,3046.46,3006.84,75375823,83576848384.0,1.31,-0.73,-22.24,0.11
2011-11-24,2990.48,3014.87,3032.37,2975.96,80970036,87632019456.0,1.87,0.05,1.49,0.12
2011-11-25,3011.01,2993.84,3028.52,2985.61,70802426,80018898944.0,1.42,-0.7,-21.03,0.1
2011-11-28,3000.39,2997.05,3012.46,2980.51,70225231,80347979776.0,1.07,0.11,3.21,0.1
2011-11-29,3020.8,3041.41,3041.75,3006.43,84738537,98189852672.0,1.18,1.48,44.36,0.12
2011-11-30,3034.02,2929.29,3034.02,2905.63,111779544,117609897984.0,4.22,-3.69,-112.12,0.16
2011-12-01,3012.22,2995.85,3046.79,2988.34,141776766,151621025792.0,2.0,2.27,66.56,0.2
2011-12-02,2981.09,2951.96,2983.01,2935.78,87019819,92597149696.0,1.58,-1.47,-43.89,0.13
2011-12-05,2950.95,2887.6,2950.95,2883.15,77731290,81286463488.0,2.3,-2.18,-64.36,0.11
2011-12-06,2879.33,2884.76,2893.65,2857.92,66250655,68419796992.0,1.24,-0.1,-2.84,0.1
2011-12-07,2884.3,2896.42,2905.21,2874.66,59967995,63284936704.0,1.06,0.4,11.66,0.09
2011-12-08,2891.76,2894.19,2920.22,2852.13,73720013,78360641536.0,2.35,-0.08,-2.23,0.11
2011-12-09,2873.18,2868.24,2896.34,2860.08,60186371,64833191936.0,1.25,-0.9,-25.95,0.09
2011-12-12,2864.01,2836.17,2870.26,2834.05,55943681,57695064064.0,1.26,-1.12,-32.07,0.08
2011-12-13,2823.22,2757.9,2823.72,2752.73,83529010,80743849984.0,2.5,-2.76,-78.27,0.12
2011-12-14,2749.52,2720.68,2770.77,2715.04,63144334,62048526336.0,2.02,-1.35,-37.22,0.09
2011-12-15,2703.75,2654.35,2703.75,2653.26,83419804,77832380416.0,1.86,-2.44,-66.33,0.12
2011-12-16,2652.77,2718.43,2718.62,2645.7,82271105,78754742272.0,2.75,2.41,64.08,0.12
2011-12-19,2698.99,2717.11,2719.5,2647.1,84916100,81925816320.0,2.66,-0.05,-1.32,0.12
2011-12-20,2708.39,2708.55,2747.47,2704.09,80044975,77971922944.0,1.6,-0.32,-8.56,0.12
2011-12-21,2728.92,2656.21,2738.73,2654.83,74643976,75058855936.0,3.1,-1.93,-52.34,0.11
2011-12-22,2638.16,2641.15,2662.43,2576.78,89112222,81700323328.0,3.22,-0.57,-15.06,0.13
2011-12-23,2634.44,2662.01,2686.59,2626.27,78771549,73860505600.0,2.28,0.79,20.86,0.11
2011-12-26,2651.46,2639.32,2678.1,2638.63,65790542,61676277760.0,1.48,-0.85,-22.69,0.09
2011-12-27,2633.84,2589.55,2639.01,2586.25,67764498,63946399744.0,2.0,-1.89,-49.77,0.1
2011-12-28,2576.15,2584.89,2586.25,2531.98,74130230,67282001920.0,2.1,-0.18,-4.66,0.11
2011-12-29,2572.66,2587.59,2601.37,2567.36,66833891,60529590272.0,1.32,0.1,2.7,0.1
2011-12-30,2594.05,2629.35,2630.16,2594.05,76227744,70934831104.0,1.4,1.61,41.76,0.11
2012-01-04,2646.83,2571.95,2653.25,2571.95,75805067,72642363392.0,3.09,-2.18,-57.4,0.11
2012-01-05,2560.07,2513.7,2570.84,2510.13,89728707,81236615168.0,2.36,-2.26,-58.25,0.13
2012-01-06,2507.86,2527.25,2527.25,2475.44,77045236,69041618944.0,2.06,0.54,13.55,0.11
2012-01-09,2527.41,2619.64,2619.87,2504.42,114222843,104701849600.0,4.57,3.66,92.39,0.16
2012-01-10,2617.54,2713.53,2715.43,2612.55,169471962,154829389824.0,3.93,3.58,93.89,0.24
