日期,指数,市净率,等权市净率,市净率中位数
2009-11-02,0.0,4.86,5.02,5.26
2009-11-03,0.0,4.64,4.74,4.86
2009-11-04,0.0,4.76,4.88,4.95
2009-11-05,0.0,4.87,5.02,5.07
2009-11-06,0.0,4.72,4.9,4.91
2009-11-09,0.0,4.64,4.85,4.86
2009-11-10,0.0,4.49,4.68,4.74
2009-11-11,0.0,4.52,4.74,4.76
2009-11-12,0.0,4.6,4.86,4.82
2009-11-13,0.0,4.85,5.15,5.13
2009-11-16,0.0,4.85,5.18,5.15
2009-11-17,0.0,4.84,5.19,5.16
2009-11-18,0.0,5.01,5.44,5.34
2009-11-19,0.0,5.32,5.78,5.75
2009-11-20,0.0,5.3,5.77,5.72
2009-11-23,0.0,5.41,5.85,5.88
2009-11-24,0.0,5.02,5.43,5.39
2009-11-25,0.0,5.32,5.78,5.68
2009-11-26,0.0,5.36,5.83,5.64
2009-11-27,0.0,5.49,5.9,5.8
2009-11-30,0.0,5.51,5.93,5.84
2009-12-01,0.0,5.55,6.0,5.79
2009-12-02,0.0,5.83,6.27,5.99
2009-12-03,0.0,6.13,6.63,6.41
2009-12-04,0.0,5.62,6.14,6.03
2009-12-07,0.0,5.69,6.2,6.18
2009-12-08,0.0,5.82,6.39,6.29
2009-12-09,0.0,5.84,6.41,6.27
2009-12-10,0.0,5.75,6.34,6.08
2009-12-11,0.0,5.52,6.05,5.89
2009-12-14,0.0,5.44,5.9,5.78
2009-12-15,0.0,5.48,5.95,5.82
2009-12-16,0.0,5.29,5.71,5.58
2009-12-17,0.0,4.99,5.4,5.22
2009-12-18,0.0,5.05,5.47,5.39
2009-12-21,0.0,5.08,5.49,5.43
2009-12-22,0.0,4.83,5.22,5.2
2009-12-23,0.0,4.98,5.38,5.37
2009-12-24,0.0,5.06,5.47,5.45
2009-12-25,0.0,4.9,5.26,5.24
2009-12-28,0.0,4.92,5.21,5.03
2009-12-29,0.0,4.93,5.24,5.16
2009-12-30,0.0,4.97,5.29,5.14
2009-12-31,0.0,4.98,5.3,5.14
2010-01-04,0.0,5.0,5.32,5.14
2010-01-05,0.0,5.01,5.31,5.14
2010-01-06,0.0,4.92,5.21,5.11
2010-01-07,0.0,4.83,5.12,5.03
2010-01-08,0.0,4.69,4.95,4.84
2010-01-11,0.0,4.66,4.86,4.74
2010-01-12,0.0,4.75,4.96,4.85
2010-01-13,0.0,4.75,4.96,4.85
2010-01-14,0.0,4.97,5.21,5.06
2010-01-15,0.0,4.94,5.19,5.0
2010-01-18,0.0,4.93,5.17,5.03
2010-01-19,0.0,4.84,5.08,4.93
2010-01-20,0.0,4.61,4.86,4.71
2010-01-21,0.0,4.57,4.78,4.65
2010-01-22,0.0,4.37,4.57,4.44
2010-01-25,0.0,4.28,4.47,4.33
2010-01-26,0.0,4.28,4.44,4.27
2010-01-27,0.0,4.25,4.41,4.32
2010-01-28,0.0,4.24,4.35,4.26
2010-01-29,0.0,4.39,4.46,4.28
2010-02-01,0.0,4.33,4.34,4.29
2010-02-02,0.0,4.31,4.32,4.2
2010-02-03,0.0,4.28,4.3,4.1
2010-02-04,0.0,4.28,4.3,4.09
2010-02-05,0.0,4.52,4.39,4.18
2010-02-08,0.0,4.64,4.5,4.29
2010-02-09,0.0,4.62,4.47,4.26
2010-02-10,0.0,4.82,4.66,4.47
2010-02-11,0.0,4.87,4.73,4.58
2010-02-12,0.0,4.94,4.78,4.61
2010-02-22,0.0,4.87,4.72,4.49
2010-02-23,0.0,4.98,4.82,4.56
2010-02-24,0.0,5.21,5.07,4.91
2010-02-25,0.0,5.26,5.13,4.92
2010-02-26,0.0,5.23,5.11,4.89
2010-03-01,0.0,5.29,5.19,4.97
2010-03-02,0.0,5.34,5.21,5.04
2010-03-03,0.0,5.27,5.13,4.95
2010-03-04,0.0,5.09,4.94,4.72
2010-03-05,0.0,5.2,5.04,4.78
2010-03-08,0.0,5.32,5.16,4.91
2010-03-09,0.0,5.35,5.19,5.05
2010-03-10,0.0,5.28,5.15,4.95
2010-03-11,0.0,5.42,5.3,5.07
2010-03-12,0.0,5.42,5.3,5.03
2010-03-15,0.0,5.48,5.36,5.05
2010-03-16,0.0,5.4,5.27,4.98
2010-03-17,0.0,5.56,5.42,5.16
2010-03-18,0.0,5.57,5.42,5.22
2010-03-19,0.0,5.58,5.43,5.2
2010-03-22,0.0,5.65,5.48,5.22
2010-03-23,0.0,5.77,5.57,5.27
2010-03-24,0.0,5.88,5.7,5.41
2010-03-25,0.0,6.09,5.89,5.57
2010-03-26,0.0,5.94,5.73,5.4
