filename,description,records,start_date,end_date,columns_count,file_size_kb
cyb_index.csv,创业板指,3736,2010-06-01,2025-10-21,11,317.33
shenzhen_pb.csv,深证主板PB,5050,2005-01-04,2025-10-21,5,168.59
buffett_index.csv,buffett_index.csv,4977,2005-04-07,2025-09-28,6,260.33
csi_all_index.csv,中证全指,3452,2011-08-02,2025-10-21,11,300.81
shenzhen_pe.csv,深证主板PE,335,1997-12-31,2025-10-21,3,8.29
shanghai_index.csv,shanghai_index.csv,8493,1990-12-19,2025-09-26,6,465.66
shanghai_qvix.csv,shanghai_qvix.csv,2579,2015-02-09,2025-09-25,5,68.29
shanghai_pe.csv,上证主板PE,323,1999-01-29,2025-10-20,3,7.85
shanghai_pb.csv,上证主板PB,5050,2005-01-04,2025-10-21,5,165.62
shanghai_congestion.csv,shanghai_congestion.csv,967,2021-09-27,2025-09-26,3,24.39
account_increase.csv,account_increase.csv,56,1970-01-01,1970-01-01,2,0.83
cyb_pb.csv,创业板PB,3879,2009-11-02,2025-10-21,5,126.1
cyb_qvix.csv,cyb_qvix.csv,2579,2015-02-09,2025-09-25,5,52.12
cyb_pe.csv,创业板PE,185,2010-06-30,2025-10-21,3,4.49
