date,close,congestion
2021-09-27,3582.83,0.4334
2021-09-28,3602.22,0.4442
2021-09-29,3536.29,0.4409
2021-09-30,3568.17,0.4563
2021-10-08,3592.17,0.4499
2021-10-11,3591.71,0.4319
2021-10-12,3546.94,0.4261
2021-10-13,3561.76,0.4478
2021-10-14,3558.28,0.4329
2021-10-15,3572.37,0.4549
2021-10-18,3568.14,0.4672
2021-10-19,3593.15,0.4427
2021-10-20,3587.0,0.4488
2021-10-21,3594.78,0.4393
2021-10-22,3582.6,0.4467
2021-10-25,3609.86,0.4506
2021-10-26,3597.64,0.4561
2021-10-27,3562.31,0.4433
2021-10-28,3518.42,0.4561
2021-10-29,3547.34,0.4719
2021-11-01,3544.48,0.4588
2021-11-02,3505.63,0.4286
2021-11-03,3498.54,0.4467
2021-11-04,3526.87,0.4345
2021-11-05,3491.57,0.4227
2021-11-08,3498.63,0.4414
2021-11-09,3507.0,0.4268
2021-11-10,3492.46,0.4305
2021-11-11,3532.79,0.4136
2021-11-12,3539.1,0.3847
2021-11-15,3533.3,0.3765
2021-11-16,3521.79,0.3763
2021-11-17,3537.37,0.382
2021-11-18,3520.71,0.3858
2021-11-19,3560.37,0.3944
2021-11-22,3582.08,0.4099
2021-11-23,3589.09,0.3986
2021-11-24,3592.7,0.4001
2021-11-25,3584.18,0.3802
2021-11-26,3564.09,0.3831
2021-11-29,3562.7,0.3942
2021-11-30,3563.89,0.3724
2021-12-01,3576.89,0.3743
2021-12-02,3573.84,0.3727
2021-12-03,3607.43,0.4018
2021-12-06,3589.31,0.3963
2021-12-07,3595.09,0.4059
2021-12-08,3637.57,0.4152
2021-12-09,3673.04,0.4196
2021-12-10,3666.35,0.4169
2021-12-13,3681.08,0.4232
2021-12-14,3661.53,0.3792
2021-12-15,3647.63,0.3761
2021-12-16,3675.02,0.3768
2021-12-17,3632.36,0.3715
2021-12-20,3593.6,0.3784
2021-12-21,3625.13,0.353
2021-12-22,3622.62,0.3478
2021-12-23,3643.34,0.3714
2021-12-24,3618.05,0.3819
2021-12-27,3615.97,0.3729
2021-12-28,3630.11,0.3889
2021-12-29,3597.0,0.3831
2021-12-30,3619.19,0.3653
2021-12-31,3639.78,0.3725
2022-01-04,3632.33,0.3604
2022-01-05,3595.18,0.3711
2022-01-06,3586.08,0.3753
2022-01-07,3579.54,0.3576
2022-01-10,3593.52,0.367
2022-01-11,3567.44,0.3597
2022-01-12,3597.43,0.3743
2022-01-13,3555.26,0.3628
2022-01-14,3521.26,0.3535
2022-01-17,3541.67,0.3496
2022-01-18,3569.91,0.3566
2022-01-19,3558.18,0.3669
2022-01-20,3555.06,0.3713
2022-01-21,3522.57,0.382
2022-01-24,3524.11,0.3896
2022-01-25,3433.06,0.3527
2022-01-26,3455.67,0.3893
2022-01-27,3394.25,0.3927
2022-01-28,3361.44,0.4087
2022-02-07,3429.58,0.3957
2022-02-08,3452.63,0.4035
2022-02-09,3479.95,0.386
2022-02-10,3485.91,0.411
2022-02-11,3462.95,0.4101
2022-02-14,3428.88,0.4124
2022-02-15,3446.09,0.4135
2022-02-16,3465.83,0.3903
2022-02-17,3468.04,0.3991
2022-02-18,3490.76,0.3874
2022-02-21,3490.61,0.3753
2022-02-22,3457.15,0.3934
2022-02-23,3489.15,0.3906
2022-02-24,3429.96,0.3641
2022-02-25,3451.41,0.3918
2022-02-28,3462.31,0.392
2022-03-01,3488.83,0.4113
2022-03-02,3484.19,0.3893
2022-03-03,3481.11,0.3771
2022-03-04,3447.65,0.3809
2022-03-07,3372.86,0.3968
2022-03-08,3293.53,0.3985
2022-03-09,3256.39,0.3879
2022-03-10,3296.09,0.4049
2022-03-11,3309.75,0.4006
2022-03-14,3223.53,0.4089
2022-03-15,3063.97,0.401
2022-03-16,3170.71,0.4216
2022-03-17,3215.04,0.4254
2022-03-18,3251.07,0.411
2022-03-21,3253.69,0.3899
2022-03-22,3259.86,0.3952
2022-03-23,3271.03,0.3891
2022-03-24,3250.26,0.3981
2022-03-25,3212.24,0.3993
2022-03-28,3214.5,0.3938
2022-03-29,3203.94,0.3969
2022-03-30,3266.6,0.4111
2022-03-31,3252.2,0.3973
2022-04-01,3282.72,0.3964
2022-04-06,3283.43,0.3782
2022-04-07,3236.7,0.37
2022-04-08,3251.85,0.3812
2022-04-11,3167.13,0.3879
2022-04-12,3213.33,0.3864
2022-04-13,3186.82,0.3871
2022-04-14,3225.64,0.4106
2022-04-15,3211.24,0.4016
2022-04-18,3195.52,0.3972
2022-04-19,3194.03,0.3945
2022-04-20,3151.05,0.3828
2022-04-21,3079.81,0.3759
2022-04-22,3086.92,0.3739
2022-04-25,2928.51,0.3787
2022-04-26,2886.43,0.3846
2022-04-27,2958.28,0.4032
2022-04-28,2975.48,0.4224
2022-04-29,3047.06,0.4183
2022-05-05,3067.76,0.4088
2022-05-06,3001.56,0.3965
2022-05-09,3004.14,0.3962
2022-05-10,3035.84,0.3961
2022-05-11,3058.7,0.4062
2022-05-12,3054.99,0.4021
2022-05-13,3084.28,0.3994
2022-05-16,3073.75,0.3929
2022-05-17,3093.7,0.4122
2022-05-18,3085.98,0.3921
2022-05-19,3096.96,0.3986
2022-05-20,3146.57,0.4179
2022-05-23,3146.86,0.4002
2022-05-24,3070.93,0.3767
2022-05-25,3107.46,0.3935
2022-05-26,3123.11,0.3861
2022-05-27,3130.24,0.391
2022-05-30,3149.06,0.3849
2022-05-31,3186.43,0.3879
2022-06-01,3182.16,0.3707
2022-06-02,3195.46,0.3718
2022-06-06,3236.37,0.3977
2022-06-07,3241.76,0.393
