日期,指数,市净率,等权市净率,市净率中位数
2005-01-04,1242.77,2.09,2.59,2.06
2005-01-05,1251.94,2.06,2.6,2.07
2005-01-06,1239.43,2.04,2.59,2.05
2005-01-07,1244.75,2.05,2.6,2.05
2005-01-10,1252.4,2.06,2.62,2.08
2005-01-11,1257.46,2.06,2.63,2.08
2005-01-12,1256.92,2.06,2.62,2.08
2005-01-13,1256.31,2.06,2.63,2.08
2005-01-14,1245.62,2.05,2.6,2.06
2005-01-17,1216.65,2.0,2.54,2.0
2005-01-18,1225.45,2.01,2.58,2.02
2005-01-19,1218.11,1.99,2.57,2.02
2005-01-20,1204.39,1.97,2.53,1.97
2005-01-21,1234.48,2.02,2.56,2.02
2005-01-24,1255.78,2.06,2.61,2.06
2005-01-25,1254.23,2.06,2.6,2.03
2005-01-26,1241.96,2.04,2.57,2.04
2005-01-27,1225.89,2.01,2.52,2.0
2005-01-28,1213.67,1.99,2.48,1.97
2005-01-31,1191.82,1.96,2.41,1.91
2005-02-01,1188.93,1.96,2.38,1.88
2005-02-02,1252.5,2.06,2.51,2.0
2005-02-03,1242.31,2.04,2.46,1.95
2005-02-04,1269.0,2.08,2.5,1.98
2005-02-16,1278.88,2.1,2.53,2.01
2005-02-17,1276.13,2.09,2.54,2.02
2005-02-18,1258.97,2.07,2.51,2.0
2005-02-21,1284.48,2.11,2.56,2.03
2005-02-22,1309.28,2.15,2.58,2.09
2005-02-23,1309.48,2.15,2.61,2.1
2005-02-24,1309.95,2.14,2.62,2.11
2005-02-25,1312.45,2.15,2.63,2.12
2005-02-28,1306.0,2.14,2.63,2.11
2005-03-01,1303.41,2.13,2.62,2.1
2005-03-02,1287.45,2.11,2.58,2.07
2005-03-03,1294.34,2.11,2.59,2.09
2005-03-04,1287.71,2.1,2.58,2.09
2005-03-07,1293.74,2.11,2.59,2.09
2005-03-08,1318.27,2.15,2.63,2.15
2005-03-09,1316.79,2.15,2.64,2.14
2005-03-10,1286.23,2.1,2.58,2.07
2005-03-11,1289.94,2.11,2.6,2.09
2005-03-14,1293.5,2.11,2.59,2.06
2005-03-15,1269.14,2.07,2.55,2.03
2005-03-16,1255.59,2.04,2.52,2.0
2005-03-17,1243.48,2.02,2.5,1.98
2005-03-18,1227.4,2.0,2.45,1.95
2005-03-21,1231.05,2.01,2.45,1.96
2005-03-22,1206.92,1.97,2.38,1.88
2005-03-23,1201.65,1.96,2.37,1.88
2005-03-24,1208.19,1.96,2.39,1.91
2005-03-25,1205.63,1.96,2.39,1.89
