日期,指数,市净率,等权市净率,市净率中位数
2005-01-04,3025.42,2.09,2.57,2.06
2005-01-05,3052.86,2.09,2.58,2.06
2005-01-06,3028.73,2.06,2.56,2.05
2005-01-07,3035.59,2.06,2.57,2.06
2005-01-10,3062.73,2.08,2.6,2.08
2005-01-11,3069.57,2.09,2.61,2.09
2005-01-12,3064.34,2.08,2.61,2.1
2005-01-13,3074.37,2.09,2.62,2.1
2005-01-14,3055.52,2.07,2.59,2.05
2005-01-17,2999.02,2.03,2.53,2.02
2005-01-18,3022.41,2.05,2.57,2.06
2005-01-19,3001.25,2.03,2.56,2.06
2005-01-20,2969.12,2.0,2.52,2.02
2005-01-21,3055.81,2.04,2.56,2.05
2005-01-24,3111.4,2.08,2.61,2.1
2005-01-25,3141.86,2.08,2.6,2.09
2005-01-26,3122.62,2.06,2.57,2.06
2005-01-27,3070.58,2.03,2.53,2.0
2005-01-28,3065.61,2.01,2.49,1.94
2005-01-31,3045.48,1.96,2.4,1.87
2005-02-01,3066.23,1.95,2.37,1.85
2005-02-02,3221.21,2.06,2.49,1.97
2005-02-03,3196.55,2.03,2.41,1.91
2005-02-04,3266.01,2.06,2.44,1.95
2005-02-16,3283.88,2.07,2.47,1.97
2005-02-17,3264.34,2.07,2.48,1.99
2005-02-18,3233.57,2.05,2.46,1.96
2005-02-21,3298.47,2.08,2.5,1.99
2005-02-22,3382.98,2.14,2.57,2.05
2005-02-23,3383.06,2.15,2.6,2.06
2005-02-24,3379.49,2.15,2.6,2.07
2005-02-25,3385.44,2.16,2.6,2.07
2005-02-28,3376.32,2.15,2.59,2.06
2005-03-01,3348.45,2.14,2.59,2.07
2005-03-02,3301.76,2.11,2.55,2.03
2005-03-03,3334.46,2.13,2.56,2.04
2005-03-04,3332.15,2.12,2.54,2.04
2005-03-07,3368.67,2.13,2.55,2.05
2005-03-08,3451.82,2.17,2.6,2.08
2005-03-09,3464.66,2.18,2.61,2.09
2005-03-10,3373.54,2.12,2.55,2.03
