股票名称,股票代码
特锐德,300001
神州泰岳,300002
乐普医疗,300003
南风股份,300004
探路者,300005
莱美药业,300006
汉威科技,300007
天海防务,300008
安科生物,300009
豆神教育,300010
鼎汉技术,300011
华测检测,300012
新宁物流,300013
亿纬锂能,300014
爱尔眼科,300015
北陆药业,300016
网宿科技,300017
中元股份,300018
硅宝科技,300019
ST银江,300020
大禹节水,300021
吉峰科技,300022
机器人,300024
华星创业,300025
红日药业,300026
华谊兄弟,300027
*ST天龙,300029
阳普医疗,300030
宝通科技,300031
金龙机电,300032
同花顺,300033
钢研高纳,300034
中科电气,300035
超图软件,300036
新宙邦,300037
上海凯宝,300039
九洲集团,300040
回天新材,300041
朗科科技,300042
星辉娱乐,300043
ST赛为,300044
华力创通,300045
台基股份,300046
天源迪科,300047
合康新能,300048
福瑞股份,300049
世纪鼎利,300050
琏升科技,300051
ST中青宝,300052
航宇微,300053
鼎龙股份,300054
万邦达,300055
中创环保,300056
万顺新材,300057
蓝色光标,300058
东方财富,300059
旗天科技,300061
中能电气,300062
天龙集团,300063
海兰信,300065
三川智慧,300066
安诺其,300067
南都电源,300068
金利华电,300069
碧水源,300070
福石控股,300071
海新能科,300072
当升科技,300073
华平股份,300074
数字政通,300075
GQY视讯,300076
国民技术,300077
思创医惠,300078
数码视讯,300079
易成新能,300080
恒信东方,300081
奥克股份,300082
创世纪,300083
海默科技,300084
银之杰,300085
康芝药业,300086
荃银高科,300087
长信科技,300088
金通灵,300091
科新机电,300092
*ST金刚,300093
国联水产,300094
华伍股份,300095
ST易联众,300096
ST智云,300097
高新兴,300098
尤洛卡,300099
双林股份,300100
振芯科技,300101
乾照光电,300102
达刚控股,300103
龙源技术,300105
西部牧业,300106
建新股份,300107
新开源,300109
华仁药业,300110
向日葵,300111
万讯自控,300112
顺网科技,300113
长盈精密,300115
东方日升,300118
瑞普生物,300119
经纬辉开,300120
阳谷华泰,300121
智飞生物,300122
亚光科技,300123
汇川技术,300124
*ST聆达,300125
锐奇股份,300126
银河磁体,300127
锦富技术,300128
泰胜风能,300129
新国都,300130
英唐智控,300131
青松股份,300132
华策影视,300133
大富科技,300134
宝利国际,300135
信维通信,300136
ST先河,300137
晨光生物,300138
晓程科技,300139
节能环境,300140
和顺电气,300141
沃森生物,300142
盈康生命,300143
宋城演艺,300144
南方泵业,300145
汤臣倍健,300146
ST香雪,300147
天舟文化,300148
睿智医药,300149
世纪瑞尔,300150
昌红科技,300151
ST新动力,300152
科泰电源,300153
瑞凌股份,300154
安居宝,300155
新锦动力,300157
振东制药,300158
*ST新研,300159
秀强股份,300160
华中数控,300161
雷曼光电,300162
先锋新材,300163
通源石油,300164
ST天瑞,300165
东方国信,300166
ST迪威迅,300167
万达信息,300168
天晟新材,300169
汉得信息,300170
东富龙,300171
中电环保,300172
福能东方,300173
元力股份,300174
ST朗源,300175
鸿特科技,300176
中海达,300177
四方达,300179
华峰超纤,300180
佐力药业,300181
捷成股份,300182
东软载波,300183
力源信息,300184
通裕重工,300185
永清环保,300187
国投智能,300188
神农种业,300189
维尔利,300190
潜能恒信,300191
科德教育,300192
佳士科技,300193
福安药业,300194
长荣股份,300195
长海股份,300196
节能铁汉,300197
ST纳川,300198
翰宇药业,300199
高盟新材,300200
海伦哲,300201
聚光科技,300203
舒泰神,300204
*ST天喻,300205
理邦仪器,300206
欣旺达,300207
中程退,300208
有棵树,300209
森远股份,300210
*ST亿通,300211
易华录,300212
佳讯飞鸿,300213
日科化学,300214
电科院,300215
东方电热,300217
安利股份,300218
鸿利智汇,300219
金运激光,300220
银禧科技,300221
科大智能,300222
北京君正,300223
正海磁材,300224
*ST金泰,300225
上海钢联,300226
光韵达,300227
富瑞特装,300228
拓尔思,300229
永利股份,300230
银信科技,300231
洲明科技,300232
金城医药,300233
开尔新材,300234
方直科技,300235
上海新阳,300236
美晨科技,300237
冠昊生物,300238
东宝生物,300239
飞力达,300240
瑞丰光电,300241
佳云科技,300242
瑞丰高材,300243
迪安诊断,300244
天玑科技,300245
宝莱特,300246
融捷健康,300247
新开普,300248
依米康,300249
初灵信息,300250
光线传媒,300251
金信诺,300252
卫宁健康,300253
仟源医药,300254
常山药业,300255
星星科技,300256
开山股份,300257
精锻科技,300258
新天科技,300259
新莱应材,300260
雅本化学,300261
隆华科技,300263
佳创视讯,300264
通光线缆,300265
兴源环境,300266
尔康制药,300267
*ST佳沃,300268
联建光电,300269
中威电子,300270
华宇软件,300271
开能健康,300272
阳光电源,300274
梅安森,300275
三丰智能,300276
海联讯,300277
华昌达,300278
和晶科技,300279
*ST紫天,300280
金明精机,300281
温州宏丰,300283
苏交科,300284
国瓷材料,300285
安科瑞,300286
飞利信,300287
朗玛信息,300288
利德曼,300289
荣科科技,300290
百纳千成,300291
吴通控股,300292
蓝英装备,300293
博雅生物,300294
三六五网,300295
利亚德,300296
三诺生物,300298
富春股份,300299
ST峡创,300300
ST长方,300301
同有科技,300302
聚飞光电,300303
云意电气,300304
裕兴股份,300305
远方信息,300306
慈星股份,300307
中际旭创,300308
宜通世纪,300310
ST任子行,300311
*ST天山,300313
戴维医疗,300314
掌趣科技,300315
晶盛机电,300316
珈伟新能,300317
博晖创新,300318
麦捷科技,300319
海达股份,300320
同大股份,300321
硕贝德,300322
华灿光电,300323
旋极信息,300324
ST凯利,300326
中颖电子,300327
宜安科技,300328
海伦钢琴,300329
苏大维格,300331
天壕能源,300332
兆日科技,300333
津膜科技,300334
迪森股份,300335
银邦股份,300337
ST开元,300338
润和软件,300339
科恒股份,300340
麦克奥迪,300341
天银机电,300342
ST联创,300343
ST立方,300344
华民股份,300345
南大光电,300346
泰格医药,300347
长亮科技,300348
金卡智能,300349
华鹏飞,300350
永贵电器,300351
北信源,300352
东土科技,300353
东华测试,300354
蒙草生态,300355
我武生物,300357
楚天科技,300358
全通教育,300359
炬华科技,300360
博腾股份,300363
中文在线,300364
恒华科技,300365
创意信息,300366
汇金股份,300368
绿盟科技,300369
安控科技,300370
汇中股份,300371
扬杰科技,300373
中铁装配,300374
鹏翎股份,300375
ST易事特,300376
赢时胜,300377
鼎捷数智,300378
*ST东通,300379
安硕信息,300380
溢多利,300381
斯莱克,300382
光环新网,300383
三联虹普,300384
雪浪环境,300385
飞天诚信,300386
富邦科技,300387
节能国祯,300388
艾比森,300389
天华新能,300390
*ST长药,300391
中来股份,300393
天孚通信,300394
菲利华,300395
迪瑞医疗,300396
天和防务,300397
飞凯材料,300398
天利科技,300399
劲拓股份,300400
花园生物,300401
宝色股份,300402
汉宇集团,300403
博济医药,300404
科隆股份,300405
九强生物,300406
凯发电气,300407
三环集团,300408
道氏技术,300409
正业科技,300410
金盾股份,300411
迦南科技,300412
芒果超媒,300413
中光防雷,300414
伊之密,300415
苏试试验,300416
南华仪器,300417
昆仑万维,300418
ST浩丰,300419
五洋自控,300420
力星股份,300421
博世科,300422
昇辉科技,300423
航新科技,300424
中建环能,300425
华智数媒,300426
红相股份,300427
立中集团,300428
强力新材,300429
诚益通,300430
富临精工,300432
蓝思科技,300433
金石亚药,300434
中泰股份,300435
广生堂,300436
清水源,300437
鹏辉能源,300438
美康生物,300439
运达科技,300440
鲍斯股份,300441
润泽科技,300442
金雷股份,300443
双杰电气,300444
康斯特,300445
航天智造,300446
全信股份,300447
浩云科技,300448
汉邦高科,300449
先导智能,300450
创业慧康,300451
山河药辅,300452
三鑫医疗,300453
深信服,300454
航天智装,300455
赛微电子,300456
赢合科技,300457
全志科技,300458
汤姆猫,300459
惠伦晶体,300460
田中精机,300461
ST华铭,300462
迈克生物,300463
星徽股份,300464
高伟达,300465
赛摩智能,300466
迅游科技,300467
四方精创,300468
信息发展,300469
中密控股,300470
厚普股份,300471
*ST新元,300472
德尔股份,300473
景嘉微,300474
香农芯创,300475
胜宏科技,300476
ST合纵,300477
杭州高新,300478
神思电子,300479
光力科技,300480
濮阳惠成,300481
万孚生物,300482
首华燃气,300483
蓝海华腾,300484
赛升药业,300485
东杰智能,300486
蓝晓科技,300487
恒锋工具,300488
光智科技,300489
华自科技,300490
通合科技,300491
华图山鼎,300492
润欣科技,300493
盛天网络,300494
中科创达,300496
富祥药业,300497
温氏股份,300498
高澜股份,300499
启迪设计,300500
海顺新材,300501
新易盛,300502
昊志机电,300503
天邑股份,300504
川金诺,300505
ST名家汇,300506
苏奥传感,300507
维宏股份,300508
新美星,300509
金冠股份,300510
雪榕生物,300511
中亚股份,300512
恒实科技,300513
友讯达,300514
三德科技,300515
久之洋,300516
海波重科,300517
新迅达,300518
新光药业,300519
科大国创,300520
爱司凯,300521
世名科技,300522
辰安科技,300523
博思软件,300525
中船应急,300527
幸福蓝海,300528
健帆生物,300529
领湃科技,300530
优博讯,300531
今天国际,300532
冰川网络,300533
陇神戎发,300534
达威股份,300535
农尚环境,300536
广信材料,300537
同益股份,300538
横河精密,300539
蜀道装备,300540
先进数通,300541
新晨科技,300542
朗科智能,300543
联得装备,300545
雄帝科技,300546
川环科技,300547
长芯博创,300548
优德精密,300549
和仁科技,300550
古鳌科技,300551
万集科技,300552
集智股份,300553
三超新材,300554
ST路通,300555
丝路视觉,300556
理工光科,300557
贝达药业,300558
佳发教育,300559
中富通,300560
*ST汇科,300561
乐心医疗,300562
神宇股份,300563
筑博设计,300564
科信技术,300565
激智科技,300566
精测电子,300567
星源材质,300568
天能重工,300569
太辰光,300570
平治信息,300571
安车检测,300572
兴齐眼药,300573
中旗股份,300575
容大感光,300576
开润股份,300577
会畅通讯,300578
数字认证,300579
贝斯特,300580
晨曦航空,300581
英飞特,300582
赛托生物,300583
海辰药业,300584
奥联电子,300585
美联新材,300586
天铁科技,300587
熙菱信息,300588
江龙船艇,300589
移为通信,300590
万里马,300591
华凯易佰,300592
新雷能,300593
朗进科技,300594
欧普康视,300595
利安隆,300596
吉大通信,300597
诚迈科技,300598
雄塑科技,300599
国瑞科技,300600
康泰生物,300601
飞荣达,300602
立昂技术,300603
长川科技,300604
恒锋信息,300605
金太阳,300606
拓斯达,300607
思特奇,300608
汇纳科技,300609
晨化股份,300610
美力科技,300611
宣亚国际,300612
富瀚微,300613
百川畅银,300614
欣天科技,300615
尚品宅配,300616
安靠智电,300617
寒锐钴业,300618
金银河,300619
光库科技,300620
维业股份,300621
博士眼镜,300622
捷捷微电,300623
万兴科技,300624
三雄极光,300625
华瑞股份,300626
华测导航,300627
亿联网络,300628
新劲刚,300629
久吾高科,300631
光莆股份,300632
开立医疗,300633
彩讯股份,300634
中达安,300635
同和药业,300636
扬帆新材,300637
广和通,300638
凯普生物,300639
德艺文创,300640
正丹股份,300641
透景生命,300642
万通智控,300643
南京聚隆,300644
正元智慧,300645
超频三,300647
星云股份,300648
杭州园林,300649
太龙股份,300650
金陵体育,300651
雷迪克,300652
正海生物,300653
世纪天鸿,300654
晶瑞电材,300655
民德电子,300656
弘信电子,300657
延江股份,300658
中孚信息,300659
江苏雷利,300660
圣邦股份,300661
科锐国际,300662
科蓝软件,300663
鹏鹞环保,300664
飞鹿股份,300665
江丰电子,300666
必创科技,300667
杰恩设计,300668
沪宁股份,300669
大烨智能,300670
富满微,300671
国科微,300672
佩蒂股份,300673
宇信科技,300674
建科院,300675
华大基因,300676
英科医疗,300677
中科信息,300678
电连技术,300679
隆盛科技,300680
英搏尔,300681
朗新集团,300682
海特生物,300683
中石科技,300684
艾德生物,300685
智动力,300686
赛意信息,300687
创业黑马,300688
澄天伟业,300689
双一科技,300690
联合光电,300691
中环环保,300692
盛弘股份,300693
蠡湖股份,300694
兆丰股份,300695
爱乐达,300696
电工合金,300697
万马科技,300698
光威复材,300699
岱勒新材,300700
森霸传感,300701
天宇股份,300702
创源股份,300703
九典制药,300705
阿石创,300706
威唐工业,300707
聚灿光电,300708
精研科技,300709
万隆光电,300710
广哈通信,300711
永福股份,300712
英可瑞,300713
凯伦股份,300715
ST泉为,300716
华信新材,300717
长盛轴承,300718
安达维尔,300719
海川智能,300720
怡达股份,300721
新余国科,300722
一品红,300723
捷佳伟创,300724
药石科技,300725
宏达电子,300726
润禾材料,300727
乐歌股份,300729
科创信息,300730
科创新源,300731
设研院,300732
西菱动力,300733
光弘科技,300735
百邦科技,300736
科顺股份,300737
奥飞数据,300738
明阳电路,300739
水羊股份,300740
华宝股份,300741
天地数码,300743
欣锐科技,300745
汉嘉设计,300746
锐科激光,300747
金力永磁,300748
顶固集创,300749
宁德时代,300750
迈为股份,300751
隆利科技,300752
爱朋医疗,300753
华致酒行,300755
金马游乐,300756
罗博特科,300757
七彩化学,300758
康龙化成,300759
迈瑞医疗,300760
立华股份,300761
上海瀚讯,300762
锦浪科技,300763
新诺威,300765
每日互动,300766
震安科技,300767
迪普科技,300768
德方纳米,300769
新媒股份,300770
智莱科技,300771
运达股份,300772
拉卡拉,300773
倍杰特,300774
三角防务,300775
帝尔激光,300776
中简科技,300777
新城市,300778
惠城环保,300779
德恩精工,300780
因赛集团,300781
卓胜微,300782
三只松鼠,300783
利安科技,300784
值得买,300785
国林科技,300786
海能实业,300787
中信出版,300788
唐源电气,300789
宇瞳光学,300790
仙乐健康,300791
壹网壹创,300792
佳禾智能,300793
米奥会展,300795
贝斯美,300796
钢研纳克,300797
锦鸡股份,300798
力合科技,300800
泰和科技,300801
矩子科技,300802
指南针,300803
广康生化,300804
电声股份,300805
斯迪克,300806
天迈科技,300807
久量股份,300808
华辰装备,300809
中科海讯,300810
铂科新材,300811
易天股份,300812
泰林生物,300813
中富电路,300814
玉禾田,300815
艾可蓝,300816
双飞集团,300817
耐普矿机,300818
聚杰微纤,300819
英杰电气,300820
东岳硅材,300821
贝仕达克,300822
建科智能,300823
北鼎股份,300824
阿尔特,300825
测绘股份,300826
上能电气,300827
锐新科技,300828
金丹科技,300829
金现代,300830
派瑞股份,300831
新产业,300832
浩洋股份,300833
星辉环材,300834
龙磁科技,300835
佰奥智能,300836
浙矿股份,300837
浙江力诺,300838
博汇股份,300839
酷特智能,300840
康华生物,300841
帝科股份,300842
胜蓝股份,300843
山水比德,300844
捷安高科,300845
首都在线,300846
中船汉光,300847
美瑞新材,300848
锦盛新材,300849
新强联,300850
交大思诺,300851
四会富仕,300852
申昊科技,300853
中兰环保,300854
图南股份,300855
科思股份,300856
协创数据,300857
科拓生物,300858
西域旅游,300859
锋尚文化,300860
美畅股份,300861
蓝盾光电,300862
卡倍亿,300863
南大环境,300864
大宏立,300865
安克创新,300866
圣元环保,300867
杰美特,300868
康泰医学,300869
欧陆通,300870
回盛生物,300871
天阳科技,300872
海晨股份,300873
捷强装备,300875
蒙泰高新,300876
金春股份,300877
维康药业,300878
大叶股份,300879
迦南智能,300880
盛德鑫泰,300881
万胜智能,300882
龙利得,300883
狄耐克,300884
海昌新材,300885
华业香料,300886
谱尼测试,300887
稳健医疗,300888
爱克股份,300889
翔丰华,300890
惠云钛业,300891
品渥食品,300892
松原安全,300893
火星人,300894
铜牛信息,300895
爱美客,300896
山科智能,300897
熊猫乳品,300898
*ST凯鑫,300899
广联航空,300900
中胤时尚,300901
国安达,300902
科翔股份,300903
威力传动,300904
宝丽迪,300905
日月明,300906
康平科技,300907
仲景食品,300908
汇创达,300909
瑞丰新材,300910
亿田智能,300911
凯龙高科,300912
兆龙互连,300913
海融科技,300915
朗特智能,300916
特发服务,300917
南山智尚,300918
中伟股份,300919
润阳科技,300920
南凌科技,300921
天秦装备,300922
研奥股份,300923
法本信息,300925
博俊科技,300926
江天化学,300927
华安鑫创,300928
华骐环保,300929
屹通新材,300930
通用电梯,300931
三友联众,300932
中辰股份,300933
盈建科,300935
中英科技,300936
药易购,300937
信测标准,300938
秋田微,300939
南极光,300940
创识科技,300941
易瑞生物,300942
春晖智控,300943
曼卡龙,300945
恒而达,300946
德必集团,300947
冠中生态,300948
奥雅股份,300949
德固特,300950
博硕科技,300951
恒辉安防,300952
震裕科技,300953
嘉亨家化,300955
英力股份,300956
贝泰妮,300957
建工修复,300958
线上线下,300959
通业科技,300960
深水海纳,300961
中金辐照,300962
中洲特材,300963
本川智能,300964
恒宇信通,300965
共同药业,300966
晓鸣股份,300967
格林精密,300968
恒帅股份,300969
华绿生物,300970
博亚精工,300971
万辰集团,300972
立高食品,300973
商络电子,300975
达瑞电子,300976
深圳瑞捷,300977
东箭科技,300978
华利集团,300979
祥源新材,300980
中红医疗,300981
苏文电能,300982
尤安设计,300983
金沃股份,300984
致远新能,300985
志特新材,300986
川网传媒,300987
津荣天宇,300988
蕾奥规划,300989
同飞股份,300990
创益通,300991
泰福泵业,300992
玉马科技,300993
久祺股份,300994
奇德新材,300995
普联软件,300996
欢乐家,300997
宁波方正,300998
金龙鱼,300999
